diesel,year,month,day
302350.02,2001,7,1
464159.13,2001,8,1
321952.94,2001,9,1
438989.55,2001,10,1
440245.35,2001,11,1
479983.27,2001,12,1
500041.32,2002,1,1
686923.83,2002,2,1
432538.46,2002,3,1
424667.36,2002,4,1
497781.66,2002,5,1
496826.62,2002,6,1
636727.84,2002,7,1
346225.0,2002,8,1
638933.22,2002,9,1
703749.81,2002,10,1
573289.5,2002,11,1
678749.64,2002,12,1
797344.38,2003,1,1
765912.66,2003,2,1
693942.31,2003,3,1
873103.1,2003,4,1
625190.08,2003,5,1
671882.83,2003,6,1
822014.55,2003,7,1
494087.13,2003,8,1
614913.68,2003,9,1
433084.99,2003,10,1
627189.78,2003,11,1
745524.88,2003,12,1
762385.45,2004,1,1
460947.5,2004,2,1
772128.26,2004,3,1
809194.95,2004,4,1
634209.64,2004,5,1
461381.79,2004,6,1
467154.31,2004,7,1
669462.53,2004,8,1
714039.85,2004,9,1
655715.05,2004,10,1
726697.88,2004,11,1
781266.61,2004,12,1
663058.79,2005,1,1
683664.39,2005,2,1
778645.07,2005,3,1
708164.74,2005,4,1
875087.62,2005,5,1
1041016.72,2005,6,1
770731.74,2005,7,1
815435.2,2005,8,1
229764.74,2005,9,1
671848.94,2005,10,1
635553.46,2005,11,1
1212610.53,2005,12,1
708730.84,2006,1,1
767710.63,2006,2,1
744721.94,2006,3,1
935306.58,2006,4,1
822556.45,2006,5,1
361207.59,2006,6,1
971716.72,2006,7,1
603747.33,2006,8,1
473431.31,2006,9,1
1220719.64,2006,10,1
431874.86,2006,11,1
890336.68,2006,12,1
818060.57,2007,1,1
822325.65,2007,2,1
569451.85,2007,3,1
850138.11,2007,4,1
793887.04,2007,5,1
855757.14,2007,6,1
1118432.25,2007,7,1
824047.47,2007,8,1
497008.84,2007,9,1
885924.86,2007,10,1
665114.83,2007,11,1
812776.59,2007,12,1
613819.33,2008,1,1
500922.23,2008,2,1
1095743.35,2008,3,1
682042.07,2008,4,1
710464.76,2008,5,1
817804.84,2008,6,1
541486.15,2008,7,1
713650.52,2008,8,1
544521.54,2008,9,1
344273.02,2008,10,1
809439.42,2008,11,1
524038.42,2008,12,1
941535.71,2009,1,1
914059.4,2009,2,1
893473.8,2009,3,1
816840.02,2009,4,1
621339.93,2009,5,1
735260.51,2009,6,1
850806.89,2009,7,1
842742.17,2009,8,1
611966.22,2009,9,1
869366.31,2009,10,1
894309.88,2009,11,1
1144960.66,2009,12,1
